rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_pass_att,clay_comp,clay_pass_yds,clay_pass_tds,clay_int,clay_sacked,clay_rush_att,clay_rush_yds,clay_rush_tds,mkt_pass_yds,mkt_pass_yds_book,mkt_as_of,adj_pass_yds,adj_pass_tds,adj_rush_yds,adj_rush_tds,adj_pass_att,adj_comp,adj_rush_att,ppr_clay_17g,ppr_clay_propadj,mkt_vs_clay17_pass_yds,mkt_vs_clayadj_pass_yds,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
1,Josh Allen,BUF,1.0,369.0,17.0,509.0,340.0,3945.0,26.0,12.0,36.0,116.0,579.0,12.0,3624.5,DraftKings,2026-08-10,3480.9,22.9,510.9,10.6,449.1,300.0,102.4,417.7,368.43,-320.5,143.6,21.67,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
2,Lamar Jackson,BLT,2.0,322.0,17.0,467.0,303.0,3886.0,26.0,10.0,39.0,122.0,671.0,4.0,3249.5,DraftKings,2026-08-10,3428.8,22.9,592.1,3.5,412.1,267.4,107.6,376.54,331.86,-636.5,-179.3,19.52,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
3,Drake Maye,NE,4.0,319.0,17.0,520.0,355.0,4094.0,27.0,11.0,47.0,101.0,532.0,4.0,3799.5,DraftKings,2026-08-10,3612.4,23.8,469.4,3.5,458.8,313.2,89.1,375.96,331.44,-294.5,187.1,19.5,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
4,Jalen Hurts,PHI,3.0,321.0,17.0,499.0,328.0,3780.0,24.0,9.0,39.0,106.0,438.0,9.0,3249.5,DraftKings,2026-08-10,3335.3,21.2,386.5,7.9,440.3,289.4,93.5,369.0,325.46,-530.5,-85.8,19.14,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
5,Jayden Daniels,WAS,5.0,318.0,17.0,520.0,347.0,3854.0,22.0,10.0,39.0,131.0,670.0,5.0,3249.5,DraftKings,2026-08-10,3400.6,19.4,591.2,4.4,458.8,306.2,115.6,361.16,318.54,-604.5,-151.1,18.74,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
6,Joe Burrow,CIN,6.0,304.0,17.0,569.0,385.0,4122.0,33.0,11.0,41.0,52.0,189.0,2.0,3999.5,DraftKings,2026-08-10,3637.1,29.1,166.8,1.8,502.1,339.7,45.9,360.78,318.46,-122.5,362.4,18.73,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
7,Matthew Stafford,LAR,9.0,293.0,17.0,558.0,356.0,4282.0,35.0,10.0,32.0,27.0,39.0,1.0,3949.5,DraftKings,2026-08-10,3778.2,30.9,34.4,0.9,492.4,314.1,23.8,356.18,314.47,-332.5,171.3,18.5,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
8,Brock Purdy,SF,10.0,292.0,17.0,530.0,352.0,4181.0,27.0,14.0,34.0,65.0,277.0,4.0,3799.5,DraftKings,2026-08-10,3689.1,23.8,244.4,3.5,467.6,310.6,57.4,353.94,312.0,-381.5,110.4,18.35,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
9,Jaxson Dart,NYG,7.0,301.0,17.0,504.0,327.0,3689.0,21.0,10.0,41.0,101.0,553.0,7.0,3150.5,DraftKings,2026-08-10,3255.0,18.5,487.9,6.2,444.7,288.5,89.1,349.86,308.69,-538.5,-104.5,18.16,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
10,Dak Prescott,DAL,13.0,287.0,17.0,556.0,372.0,4120.0,30.0,12.0,35.0,51.0,186.0,2.0,3999.5,DraftKings,2026-08-10,3635.3,26.5,164.1,1.8,490.6,328.2,45.0,345.4,305.12,-120.5,364.2,17.95,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
11,Trevor Lawrence,JAX,12.0,287.0,17.0,560.0,347.0,3928.0,25.0,13.0,38.0,73.0,334.0,5.0,3774.5,DraftKings,2026-08-10,3465.9,22.1,294.7,4.4,494.1,306.2,64.4,345.52,305.01,-153.5,308.6,17.94,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
12,Bo Nix,DEN,8.0,295.0,17.0,565.0,364.0,3873.0,26.0,11.0,27.0,82.0,356.0,4.0,3499.5,DraftKings,2026-08-10,3417.4,22.9,314.1,3.5,498.5,321.2,72.4,344.52,303.61,-373.5,82.1,17.86,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
13,Patrick Mahomes,KC,11.0,290.0,17.0,551.0,358.0,3993.0,26.0,12.0,34.0,53.0,326.0,3.0,,,,3523.2,22.9,287.6,2.6,486.2,315.9,46.8,340.32,299.79,,,17.63,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
14,Justin Herbert,LAC,14.0,283.0,17.0,528.0,345.0,3846.0,26.0,11.0,45.0,78.0,406.0,2.0,3650.5,DraftKings,2026-08-10,3393.5,22.9,358.2,1.8,465.9,304.4,68.8,336.44,296.86,-195.5,257.0,17.46,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
15,Caleb Williams,CHI,15.0,282.0,17.0,528.0,317.0,3823.0,25.0,10.0,32.0,71.0,382.0,2.0,3649.5,DraftKings,2026-08-10,3373.2,22.1,337.1,1.8,465.9,279.7,62.6,328.12,289.94,-173.5,276.3,17.06,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
