factor,factor_group,grid_threshold,per_game_reference,reference_table_value,factor_kind,possible_responses,note
Carries,volume,293.79,17.28,293.79,binary_vs_avg,Yes / No / ?,grid uses the season-paced average
Targets,volume,92.49,5.44,92.49,binary_vs_avg,Yes / No / ?,grid uses the season-paced average
Receptions,volume,72.22,4.25,72.22,binary_vs_avg,Yes / No / ?,grid uses the season-paced average
Total Touches,volume,365.90,21.52,365.90,binary_vs_avg,Yes / No / ?,grid uses the season-paced average
Touchdowns,volume,16.73,0.98,16.73,binary_vs_avg,Yes / No / ?,grid uses the season-paced average
Offensive Rank in PPG,situational,9.50,,9.50,binary_vs_avg,Yes / No / ?,
PFF Run Blocking Grade,situational,9.88,,9.88,binary_vs_avg,Yes / No / ?,"a rank, not a grade, despite the label"
Teams Wins,situational,9.85,,9.85,binary_vs_avg,Yes / No / ?,"labelled ""Teams Wins"" in source"
Age,situational,24.94,,24.94,binary_vs_avg,Yes / No / ?,Yes = younger than the cohort average
Efficiency (Yards per Carry),situational,4.89,,4.89,binary_vs_avg,Yes / No / ?,
Efficiency (Yards per Touch),situational,5.82,,5.67,binary_vs_avg,Yes / No / ?,"DISCREPANCY: grids show 5.82, the reference table shows 5.67"
Archetype,classification,N/A,,N/A,archetype,Prime Multi Time RB1 / RB1s In Their Prime / Breakout Candidate / Trusty Veteran,
Age & Injury,classification,MC/SC/C,,MC/SC/C,injury,Minimal Concerns / Some Concern / Concerned,MC/SC/C is the legend in the Average column

COLOR LEGEND,points,binary factors,archetype,injury
green,5,Yes,RB1s In Their Prime,(unused)
yellow,3,Yes,Breakout Candidate,Minimal Concerns
orange,-1,?,Breakout Candidate,Some Concern
red,-3,No,Trusty Veteran,Concerned
purple,not counted,(unused),Prime Multi Time RB1,(unused)
