analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,injury_concern,resp_carries,color_carries,resp_targets,color_targets,resp_receptions,color_receptions,resp_total_touches,color_total_touches,resp_touchdowns,color_touchdowns,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_pff_run_blocking_grade,color_pff_run_blocking_grade,resp_teams_wins,color_teams_wins,resp_age,color_age,resp_efficiency_yards_per_carry,color_efficiency_yards_per_carry,resp_efficiency_yards_per_touch,color_efficiency_yards_per_touch,n_green,n_yellow,n_orange,n_red,n_purple_uncounted,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,1,Jahmyr Gibbs,Jahmyr Gibbs,,Prime Multi Time RB1,Minimal Concerns,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,9,3,0,0,1,12,9,3,0,0,54,54,Y,,1,0
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,2,Bijan Robinson,Bijan Robinson,,Prime Multi Time RB1,Minimal Concerns,Yes,green,Yes,green,Yes,green,Yes,green,Yes,yellow,?,orange,Yes,green,?,orange,Yes,green,Yes,green,Yes,green,8,2,2,0,1,12,8,2,2,0,44,44,Y,,2,0
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,3,Christian McCaffrey,Christian McCaffrey,,Trusty Veteran,Concerned,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,No,red,No,red,Yes,green,5,4,0,4,0,13,5,4,0,4,25,25,Y,,6,-3
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,4,Jonathan Taylor,Jonathan Taylor,,Trusty Veteran,Some Concern,Yes,green,No,red,No,red,Yes,yellow,Yes,yellow,?,orange,Yes,green,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,2,5,3,3,0,13,2,5,3,3,13,13,Y,,14,-10
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,5,James Cook,James Cook,,Prime Multi Time RB1,Minimal Concerns,Yes,yellow,?,orange,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,green,5,5,2,0,1,12,5,5,2,0,38,38,Y,,3,2
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,6,Ashton Jeanty,Ashton Jeanty,,Breakout Candidate,Minimal Concerns,Yes,green,?,orange,?,orange,Yes,yellow,No,red,?,orange,?,orange,No,red,Yes,yellow,Yes,yellow,Yes,yellow,1,6,4,2,0,13,1,6,4,2,13,13,Y,,15,-9
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,7,Saquon Barkley,Saquon Barkley,,Trusty Veteran,Concerned,Yes,green,No,red,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,No,red,Yes,yellow,Yes,yellow,2,6,1,4,0,13,2,6,1,4,15,15,Y,,12,-5
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,8,Omarion Hampton,Omarion Hampton,,Breakout Candidate,Minimal Concerns,Yes,yellow,?,orange,?,orange,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,yellow,Yes,yellow,?,orange,3,6,4,0,0,13,3,6,4,0,29,29,Y,,5,3
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,9,Ken Walker,Kenneth Walker III,,RB1s In Their Prime,Some Concern,Yes,yellow,No,red,No,red,?,orange,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,yellow,?,orange,3,5,3,2,0,13,3,5,3,2,21,21,Y,,8,1
RB_FACTOR_GRID_2026,"Analyst colour-coded RB factor grid (screenshots, 10 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,RB,10,Chase Brown,Chase Brown,,RB1s In Their Prime,Minimal Concerns,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,No,red,Yes,green,Yes,green,Yes,yellow,?,orange,4,7,1,1,0,13,4,7,1,1,37,37,Y,,4,6
