rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_rush_yds,mkt_rec_yds,mkt_rush_tds,mkt_book,mkt_as_of,adj_rush_att,adj_rush_yds,adj_rush_tds,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,ppr_clay_17g,ppr_clay_propadj,mkt_vs_clay17_rush_yds,mkt_vs_clayadj_rush_yds,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
1,Jahmyr Gibbs,DET,1.0,365.0,17.0,283.0,1374.0,14.0,86.0,68.0,546.0,3.0,61.0,16.0,,425.5,,Caesars,2026-06-06,233.1,1131.5,11.5,70.8,56.0,449.6,2.5,362.0,298.11,,,17.54,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
2,Bijan Robinson,ATL,2.0,353.0,17.0,287.0,1374.0,8.0,99.0,76.0,707.0,3.0,66.0,18.0,1125.5,600.5,,Caesars,2026-06-06,236.4,1131.5,6.6,81.5,62.6,582.2,2.5,350.1,288.57,-248.5,-6.0,16.97,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
3,Christian McCaffrey,SF,3.0,343.0,17.0,274.0,1131.0,9.0,100.0,79.0,685.0,5.0,62.0,19.0,925.5,575.5,,Caesars,2026-06-06,225.6,931.4,7.4,82.4,65.1,564.1,4.1,344.6,283.65,-205.5,-5.9,16.69,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
4,Jonathan Taylor,IND,4.0,317.0,17.0,327.0,1510.0,12.0,63.0,51.0,380.0,1.0,78.0,12.0,1250.5,,11.5,Caesars,2026-06-06,269.3,1243.5,9.9,51.9,42.0,312.9,0.8,318.0,261.84,-259.5,7.0,15.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
5,De'Von Achane,MIA,5.0,293.0,17.0,258.0,1305.0,5.0,80.0,65.0,512.0,3.0,60.0,16.0,975.5,,,Caesars,2026-06-06,212.5,1074.7,4.1,65.9,53.5,421.6,2.5,294.7,242.73,-329.5,-99.2,14.28,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
6,James Cook,BUF,7.0,279.0,17.0,300.0,1400.0,11.0,46.0,36.0,302.0,2.0,65.0,9.0,1200.5,,10.5,Caesars,2026-06-06,247.1,1152.9,9.1,37.9,29.6,248.7,1.6,284.2,233.96,-199.5,47.6,13.76,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
7,Ashton Jeanty,LV,6.0,281.0,17.0,281.0,1136.0,7.0,87.0,65.0,495.0,2.0,67.0,16.0,,,,,,231.4,935.5,5.8,71.6,53.5,407.6,1.6,282.1,232.21,,,13.66,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
8,Jeremiyah Love,ARZ,8.0,279.0,17.0,255.0,1129.0,7.0,86.0,65.0,489.0,2.0,68.0,15.0,,,,,,210.0,929.8,5.8,70.8,53.5,402.7,1.6,280.8,231.15,,,13.6,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
9,Breece Hall,NYJ,11.0,273.0,17.0,265.0,1163.0,8.0,64.0,52.0,436.0,3.0,61.0,12.0,,,,,,218.2,957.8,6.6,52.7,42.8,359.1,2.5,277.9,229.09,,,13.48,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
10,Saquon Barkley,PHI,10.0,274.0,17.0,301.0,1287.0,9.0,59.0,43.0,371.0,2.0,65.0,12.0,1075.5,,,Caesars,2026-06-06,247.9,1059.9,7.4,48.6,35.4,305.5,1.6,274.8,225.94,-211.5,15.6,13.29,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
