analysis_id,season,position,adp_position_rank,player_name_normalized,player_name_source,nfl_team,archetype,archetype_cohort_used,archetype_cohort_mapping,injury_concern,factor_score,factor_score_rank,factor_score_normalized,adp_minus_score_rank,p_returned_on_adp,p_got_injured,p_boomed,p_busted,p_fine,prob_basis,prob_is_player_specific,caveat
RB_PLAYER_PRIORS_2026,2026,RB,1,Jahmyr Gibbs,Jahmyr Gibbs,,Prime Multi Time RB1,RB1s In Their Prime,ASSUMED - no published base rate for this archetype; nearest cohort substituted,Minimal Concerns,54,1,1.0,0,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,2,Bijan Robinson,Bijan Robinson,,Prime Multi Time RB1,RB1s In Their Prime,ASSUMED - no published base rate for this archetype; nearest cohort substituted,Minimal Concerns,44,2,0.8765,0,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,3,Christian McCaffrey,Christian McCaffrey,,Trusty Veteran,Trusty Veteran,exact,Concerned,25,6,0.642,-3,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,4,Jonathan Taylor,Jonathan Taylor,,Trusty Veteran,Trusty Veteran,exact,Some Concern,13,14,0.4938,-10,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,5,James Cook,James Cook,,Prime Multi Time RB1,RB1s In Their Prime,ASSUMED - no published base rate for this archetype; nearest cohort substituted,Minimal Concerns,38,3,0.8025,2,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,6,Ashton Jeanty,Ashton Jeanty,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,13,15,0.4938,-9,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,7,Saquon Barkley,Saquon Barkley,,Trusty Veteran,Trusty Veteran,exact,Concerned,15,12,0.5185,-5,0.3333,0.2167,0.2,0.1667,0.2833,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=60)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,8,Omarion Hampton,Omarion Hampton,,Breakout Candidate,Breakout Candidate,exact,Minimal Concerns,29,5,0.6914,3,0.4286,0.1786,0.1964,0.1964,0.1964,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=56)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,9,Kenneth Walker III,Ken Walker,,RB1s In Their Prime,RB1s In Their Prime,exact,Some Concern,21,8,0.5926,1,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
RB_PLAYER_PRIORS_2026,2026,RB,10,Chase Brown,Chase Brown,,RB1s In Their Prime,RB1s In Their Prime,exact,Minimal Concerns,37,4,0.7901,6,0.4615,0.1538,0.2788,0.2019,0.1827,"archetype-level base rate, 2015+ top-20-RB ADP cohort (n=104)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; RB and WR scores are NOT comparable (different factor counts and cell totals)"
