Team▼,Pts / Game▼,Playoff Pts▼,Wk 15▼,Wk 16▼,Wk 17▼
1Rams▶,26.6,78.8,29.3,23,26.5
2Bills▶,26.1,79,27.5,24,27.5
3Lions▶,26.1,75,24,27,24
4Bengals▶,26,79,25,27,27
5Ravens▶,25.9,75.8,24.5,26.8,24.5
6Cowboys▶,25.7,77.6,23.3,27.3,27
749ers▶,25,67.8,22.5,21.8,23.5
8Seahawks▶,24.8,69.5,21,24.5,24
9Packers▶,24.7,73.5,28,23,22.5
10Bears▶,24.6,74,24,24.5,25.5
11Chiefs▶,24.1,70.8,24,24.8,22
12Chargers▶,23.8,74.8,25,26.3,23.5
13Patriots▶,23.8,67.5,21.5,23.5,22.5
14Eagles▶,23.8,64.5,22.5,20,22
15Jaguars▶,23.5,70.6,20.3,24.3,26
16Commanders▶,23.5,69.5,25,22,22.5
17Colts▶,23.4,73,24.5,25.5,23
18Buccaneers▶,23.3,70,24.5,23.5,22
19Texans▶,22.5,60.8,23.3,17.5,20
20Vikings▶,22.5,68.5,22.5,24.5,21.5
21Broncos▶,22.3,65.5,23,22.5,20
22Giants▶,22.1,67.5,22.5,22.5,22.5
23Saints▶,21.5,67.5,21,25,21.5
24Steelers▶,21.4,66.5,22,22.5,22
25Falcons▶,21.2,66.5,21.5,22,23
26Panthers▶,20.8,60,22.5,19,18.5
27Titans▶,20.6,64,23,20.5,20.5
28Raiders▶,19.2,62.5,18.5,22,22
29Dolphins▶,19,56.8,17.5,19.3,20
30Browns▶,18.7,55.3,18,16.8,20.5
31Cardinals▶,18.5,61.5,21.5,19.5,20.5
32Jets▶,18.4,55,20,17,18
