analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,factor,factor_group,factor_kind,league_average_reference,response,color,color_points,counts_toward_score,extraction_confidence,extraction_method
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Targets,volume,binary_vs_avg,137.67,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Receptions,volume,binary_vs_avg,97.02,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Touchdowns,volume,binary_vs_avg,9.49,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Offensive Rank in PPG,situational,binary_vs_avg,11.78,?,orange,-1,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Quarterbacks Rank in QBR,situational,binary_vs_avg,9.70,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Rank in Team Pass Attempts,situational,binary_vs_avg,11.81,No,red,-3,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Rank in Team Targets,situational,binary_vs_avg,1.43,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Rank in Receiving Touchdown,situational,binary_vs_avg,1.38,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,Route Participation,situational,binary_vs_avg,79.8%,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,In-line %,situational,binary_vs_avg,39.0%,Yes,green,5,Y,high,"programmatic cell-fill sampling, validated vs published colour counts"
