analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,tier_color,tier_rank,injury_concern,resp_targets,color_targets,resp_receptions,color_receptions,resp_touchdowns,color_touchdowns,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_quarterbacks_rank_in_qbr,color_quarterbacks_rank_in_qbr,resp_rank_in_team_pass_attempts,color_rank_in_team_pass_attempts,resp_rank_in_team_targets,color_rank_in_team_targets,resp_rank_in_receiving_touchdown,color_rank_in_receiving_touchdown,resp_route_participation,color_route_participation,resp_in_line_pct,color_in_line_pct,resp_rank_in_yards_per_route_run,color_rank_in_yards_per_route_run,n_green,n_yellow,n_orange,n_red,n_cells_counted,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,1,Brock Bowers,Brock Bowers,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Minimal Concerns,Yes,green,Yes,green,Yes,green,?,orange,No,red,No,red,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,8,1,1,2,12,8,1,1,2,36,36,Y,,4,-3
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,2,Trey McBride,Trey McBride,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Minimal Concerns,Yes,green,Yes,green,Yes,yellow,?,orange,No,red,Yes,yellow,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,7,3,1,1,12,7,3,1,1,40,40,Y,,1,1
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,3,Colston Loveland,Colston Loveland,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Minimal Concerns,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,green,Yes,green,?,orange,Yes,yellow,Yes,green,4,7,1,0,12,4,7,1,0,40,40,Y,,2,1
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,4,Tyler Warren,Tyler Warren,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Minimal Concerns,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,No,red,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,2,7,2,1,12,2,7,2,1,26,26,Y,,6,-2
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,5,Tucker Kraft,Tucker Kraft,,NOT IN SOURCE - TE grid has no archetype row,green,2,Concerned,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,No,red,Yes,green,Yes,green,Yes,yellow,No,red,Yes,green,3,6,0,3,12,3,6,0,3,24,24,Y,,8,-3
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,6,Sam LaPorta,Sam LaPorta,,NOT IN SOURCE - TE grid has no archetype row,purple,1,Some Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,Yes,green,3,8,1,0,12,3,8,0,1,38,36,N,"Published counts record one red and no orange; the grid has an orange ""Some Concern"" injury cell and no red. Grid yields a score of 38, not 36.",3,3
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,7,Harold Fannin,Harold Fannin Jr.,,NOT IN SOURCE - TE grid has no archetype row,green,2,Minimal Concerns,Yes,yellow,Yes,yellow,?,orange,No,red,No,red,?,orange,Yes,green,Yes,green,Yes,yellow,Yes,yellow,Yes,yellow,2,6,2,2,12,2,6,2,2,20,20,Y,,11,-4
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,8,Kyle Pitts,Kyle Pitts,,NOT IN SOURCE - TE grid has no archetype row,green,2,Minimal Concerns,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,?,orange,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Yes,yellow,1,8,3,0,12,1,8,3,0,26,26,Y,,7,1
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,9,George Kittle,George Kittle,,NOT IN SOURCE - TE grid has no archetype row,gold,4,Concerned,No,red,?,orange,?,orange,Yes,yellow,Yes,green,No,red,Yes,yellow,Yes,yellow,Yes,yellow,No,red,Yes,green,2,4,2,4,12,2,4,2,4,8,8,Y,,16,-7
TE_FACTOR_GRID_2026,"Analyst colour-coded TE factor grid (screenshots, 5 images)",third_party_analyst_screenshot,UNKNOWN - owner to supply,UNKNOWN - owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,TE,10,Travis Kelce,Travis Kelce,,NOT IN SOURCE - TE grid has no archetype row,green,2,Some Concern,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Yes,green,Yes,yellow,?,orange,Yes,yellow,Yes,green,Yes,yellow,?,orange,2,6,4,0,12,2,6,4,0,24,24,Y,,9,1
