rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_receptions,mkt_rec_yds,mkt_rec_tds,mkt_book,mkt_as_of,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,adj_rush_yds,adj_rush_tds,ppr_clay_17g,ppr_clay_propadj,ppr_market,mkt_minus_clay17,mkt_minus_clayadj,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
1,Brock Bowers,LV,2.0,240.0,17.0,4.0,16.0,0.0,135.0,98.0,996.0,7.0,1.0,25.0,,,,,,119.1,86.5,878.8,6.2,14.1,0.0,241.2,212.99,,,,12.53,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
2,Trey McBride,ARZ,1.0,242.0,17.0,0.0,0.0,0.0,149.0,108.0,1024.0,5.0,0.0,26.0,,,,,,131.5,95.3,903.5,4.4,0.0,0.0,240.4,212.05,,,,12.47,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
3,Colston Loveland,CHI,4.0,206.0,17.0,0.0,0.0,0.0,118.0,80.0,898.0,6.0,0.0,23.0,,,,,,104.1,70.6,792.4,5.3,0.0,0.0,205.8,181.64,,,,10.68,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
4,Tyler Warren,IND,3.0,208.0,17.0,6.0,14.0,0.0,115.0,86.0,872.0,5.0,2.0,22.0,,,,,,101.5,75.9,769.4,4.4,12.4,0.0,204.6,180.48,,,,10.62,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
5,Sam LaPorta,DET,5.0,189.0,17.0,0.0,0.0,0.0,102.0,78.0,787.0,5.0,0.0,19.0,,,,,,90.0,68.8,694.4,4.4,0.0,0.0,186.7,164.64,,,,9.68,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
6,Harold Fannin Jr.,CLV,6.0,187.0,17.0,9.0,21.0,0.0,119.0,83.0,817.0,3.0,2.0,23.0,,,,,,105.0,73.2,720.9,2.6,18.5,0.0,184.8,162.74,,,,9.57,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
7,Kyle Pitts,ATL,7.0,185.0,17.0,0.0,0.0,0.0,115.0,80.0,857.0,3.0,0.0,21.0,,,,,,101.5,70.6,756.2,2.6,0.0,0.0,183.7,161.82,,,,9.52,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
8,Dallas Goedert,PHI,10.0,177.0,17.0,0.0,0.0,0.0,93.0,71.0,726.0,6.0,0.0,19.0,,,,,,82.1,62.6,640.6,5.3,0.0,0.0,179.6,158.46,,,,9.32,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
9,Travis Kelce,KC,8.0,177.0,17.0,0.0,0.0,0.0,103.0,74.0,770.0,4.0,0.0,19.0,,,,,,90.9,65.3,679.4,3.5,0.0,0.0,175.0,154.24,,,,9.07,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
10,George Kittle,SF,9.0,177.0,15.0,0.0,0.0,0.0,88.0,70.0,762.0,5.0,0.0,17.0,,,,,,76.3,60.7,660.4,4.3,0.0,0.0,176.2,152.54,,,,10.17,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
11,Mark Andrews,BLT,12.0,169.0,17.0,10.0,35.0,1.0,84.0,58.0,617.0,7.0,2.0,18.0,,,,,,74.1,51.2,544.4,6.2,30.9,0.9,171.2,151.33,,,,8.9,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
12,Tucker Kraft,GB,11.0,172.0,17.0,2.0,8.0,0.0,94.0,68.0,775.0,4.0,1.0,18.0,,,,,,82.9,60.0,683.8,3.5,7.1,0.0,170.3,150.09,,,,8.83,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
13,Jake Ferguson,DAL,13.0,167.0,17.0,0.0,0.0,0.0,96.0,73.0,599.0,6.0,0.0,17.0,,,,,,84.7,64.4,528.5,5.3,0.0,0.0,168.9,149.05,,,,8.77,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
14,Kenyon Sadiq,NYJ,14.0,162.0,17.0,0.0,0.0,0.0,90.0,67.0,692.0,4.0,0.0,17.0,,,,,,79.4,59.1,610.6,3.5,0.0,0.0,160.2,141.16,,,,8.3,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
15,T.J. Hockenson,MIN,15.0,158.0,17.0,0.0,0.0,0.0,100.0,78.0,639.0,3.0,0.0,18.0,,,,,,88.2,68.8,563.8,2.6,0.0,0.0,159.9,140.78,,,,8.28,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
16,Isaiah Likely,NYG,16.0,156.0,17.0,0.0,0.0,0.0,86.0,64.0,684.0,4.0,0.0,17.0,,,,,,75.9,56.5,603.5,3.5,0.0,0.0,156.4,137.85,,,,8.11,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
17,Dalton Kincaid,BUF,17.0,156.0,17.0,0.0,0.0,0.0,82.0,59.0,698.0,4.0,0.0,16.0,,,,,,72.4,52.1,615.9,3.5,0.0,0.0,152.8,134.69,,,,7.92,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
18,Hunter Henry,NE,18.0,150.0,17.0,0.0,0.0,0.0,78.0,56.0,628.0,5.0,0.0,15.0,,,,,,68.8,49.4,554.1,4.4,0.0,0.0,148.8,131.21,,,,7.72,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
19,Juwan Johnson,NO,19.0,143.0,17.0,0.0,0.0,0.0,88.0,64.0,637.0,3.0,0.0,16.0,,,,,,77.6,56.5,562.1,2.6,0.0,0.0,145.7,128.31,,,,7.55,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
20,Brenton Strange,JAX,20.0,142.0,17.0,0.0,0.0,0.0,85.0,59.0,598.0,4.0,0.0,15.0,,,,,,75.0,52.1,527.6,3.5,0.0,0.0,142.8,125.86,,,,7.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
21,Pat Freiermuth,PIT,21.0,136.0,17.0,0.0,0.0,0.0,85.0,60.0,602.0,3.0,0.0,15.0,,,,,,75.0,52.9,531.2,2.6,0.0,0.0,138.2,121.62,,,,7.15,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
22,Darren Waller,CAR,23.0,134.0,17.0,0.0,0.0,0.0,73.0,50.0,554.0,5.0,0.0,14.0,,,,,,64.4,44.1,488.8,4.4,0.0,0.0,135.4,119.38,,,,7.02,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
23,Terrance Ferguson,LAR,22.0,136.0,17.0,0.0,0.0,0.0,73.0,46.0,580.0,5.0,0.0,13.0,,,,,,64.4,40.6,511.8,4.4,0.0,0.0,134.0,118.18,,,,6.95,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
24,Dalton Schultz,HST,24.0,133.0,17.0,0.0,0.0,0.0,82.0,59.0,555.0,3.0,0.0,15.0,,,,,,72.4,52.1,489.7,2.6,0.0,0.0,132.5,116.67,,,,6.86,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
25,Gunnar Helm,TEN,25.0,126.0,17.0,0.0,0.0,0.0,77.0,58.0,495.0,3.0,0.0,14.0,,,,,,67.9,51.2,436.8,2.6,0.0,0.0,125.5,110.48,,,,6.5,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
