analysis_id,season,position,adp_position_rank,player_name_normalized,player_name_source,nfl_team,archetype,archetype_cohort_used,archetype_cohort_mapping,tier_color,tier_rank,injury_concern,factor_score,factor_score_rank,factor_score_normalized,adp_minus_score_rank,p_returned_on_adp,p_got_injured,p_boomed,p_busted,p_fine,prob_basis,prob_is_player_specific,caveat
TE_PLAYER_PRIORS_2026,2026,TE,1,Brock Bowers,Brock Bowers,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Minimal Concerns,36,4,0.9259,-3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,2,Trey McBride,Trey McBride,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Minimal Concerns,40,1,1.0,1,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,3,Colston Loveland,Colston Loveland,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Minimal Concerns,40,2,1.0,1,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,4,Tyler Warren,Tyler Warren,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Minimal Concerns,26,6,0.7407,-2,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,5,Tucker Kraft,Tucker Kraft,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Concerned,24,8,0.7037,-3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,6,Sam LaPorta,Sam LaPorta,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Some Concern,38,3,0.963,3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,7,Harold Fannin Jr.,Harold Fannin,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Minimal Concerns,20,11,0.6296,-4,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,8,Kyle Pitts,Kyle Pitts,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Minimal Concerns,26,7,0.7407,1,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,9,George Kittle,George Kittle,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Concerned,8,16,0.4074,-7,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,10,Travis Kelce,Travis Kelce,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Some Concern,24,9,0.7037,1,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,11,Mark Andrews,Mark Andrews,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Some Concern,12,13,0.4815,-2,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,12,Dalton Kincaid,Dalton Kincaid,,,,NONE - TE analysis has no archetype row and no hit-rate table,purple,1,Some Concern,28,5,0.7778,7,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,13,Isaiah Likely,Isaiah Likely,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,8,17,0.4074,-4,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,14,Jake Ferguson,Jake Ferguson,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Some Concern,18,12,0.5926,2,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,15,Dallas Goedert,Dallas Goedert,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,4,23,0.3333,-8,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,16,Chigoziem Okonkwo,Chig Okonkwo,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,6,19,0.3704,-3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,17,Oronde Gadsden II,Oronde Gadsden,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Minimal Concerns,24,10,0.7037,7,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,18,Brenton Strange,Brenton Strange,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,0,27,0.2593,-9,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,19,Hunter Henry,Hunter Henry,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Some Concern,6,20,0.3704,-1,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,20,Juwan Johnson,Juwan Johnson,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,2,25,0.2963,-5,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,21,Kenyon Sadiq,Kenyon Sadiq,,,,NONE - TE analysis has no archetype row and no hit-rate table,green,2,Minimal Concerns,10,15,0.4444,6,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,22,Dalton Schultz,Dalton Schultz,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,4,24,0.3333,-2,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,23,T.J. Hockenson,TJ Hockenson,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Some Concern,6,21,0.3704,2,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,24,A.J. Barner,AJ Barner,,,,NONE - TE analysis has no archetype row and no hit-rate table,red,5,Minimal Concerns,-14,31,0.0,-7,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,25,Greg Dulcich,Greg Dulcich,,,,NONE - TE analysis has no archetype row and no hit-rate table,red,5,Minimal Concerns,-6,30,0.1481,-5,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,26,Gunnar Helm,Gunnar Helm,,,,NONE - TE analysis has no archetype row and no hit-rate table,red,5,Minimal Concerns,-14,32,0.0,-6,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,27,Cade Otton,Cade Otton,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,6,22,0.3704,5,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,28,Terrance Ferguson,Terrance Ferguson,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,8,18,0.4074,10,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,29,Pat Freiermuth,Pat Freiermuth,,,,NONE - TE analysis has no archetype row and no hit-rate table,yellow,3,Minimal Concerns,12,14,0.4815,15,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,30,Mike Gesicki,Mike Gesicki,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,2,26,0.2963,4,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,31,Eli Stowers,Eli Stowers,,,,NONE - TE analysis has no archetype row and no hit-rate table,gold,4,Minimal Concerns,0,28,0.2593,3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
TE_PLAYER_PRIORS_2026,2026,TE,32,Evan Engram,Evan Engram,,,,NONE - TE analysis has no archetype row and no hit-rate table,red,5,Some Concern,-4,29,0.1852,3,,,,,,NO base rates available for TE - the analyst supplied no archetype back-test for this position,N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; not comparable across positions. tier_color is the analyst colour tier from the scoring table, no printed legend."
