analysis_id,source,source_type,analyst,source_date,adp_basis,season,position,adp_position_rank,player_name_source,player_name_normalized,nfl_team,archetype,injury_concern,resp_targets,color_targets,resp_receptions,color_receptions,resp_touchdowns,color_touchdowns,resp_offensive_rank_in_ppg,color_offensive_rank_in_ppg,resp_quarterbacks_rank_in_pff_passing_grade,color_quarterbacks_rank_in_pff_passing_grade,resp_team_pass_attempts,color_team_pass_attempts,resp_highest_targeted_secondary_option,color_highest_targeted_secondary_option,resp_offensive_line_rank_in_pass_blocking,color_offensive_line_rank_in_pass_blocking,resp_rank_in_yards_per_route_run,color_rank_in_yards_per_route_run,resp_highest_pct_achieved_in_reception_perception,color_highest_pct_achieved_in_reception_perception,n_green,n_yellow,n_orange,n_red,n_cells,n_green_published,n_yellow_published,n_orange_published,n_red_published,factor_score_recomputed,factor_score_published,factor_score_matches_published,note,factor_score_rank,adp_minus_score_rank
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Prime WR1,Minimal Concern,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,Yes,green,More,red,No,red,Yes,green,Yes,green,9,1,0,2,12,9,1,0,2,42,42,Y,,1,0
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,2,Puka Nacua,Puka Nacua,,Prime WR1,Some Concern,Yes,green,Yes,green,Yes,yellow,Yes,green,Yes,green,Yes,green,More,red,Yes,yellow,Yes,green,Yes,green,8,2,1,1,12,8,2,1,1,42,42,Y,,2,0
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,3,Jaxon Smith-Njigba,Jaxon Smith-Njigba,,Prime WR1,Minimal Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,No,red,Less,green,Yes,yellow,Yes,green,Yes,green,4,7,0,1,12,4,7,0,1,38,38,Y,,3,0
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,4,Amon-Ra St. Brown,Amon-Ra St. Brown,,Prime WR1,Minimal Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,yellow,More,red,Yes,yellow,Yes,green,Yes,yellow,4,7,0,1,12,4,7,0,1,38,38,Y,,4,0
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,5,CeeDee Lamb,CeeDee Lamb,,Prime WR1,Some Concern,?,orange,Yes,yellow,Yes,yellow,Yes,green,Yes,green,Yes,green,More,red,Yes,yellow,Yes,green,Yes,green,6,3,2,1,12,6,3,2,1,34,34,Y,,7,-2
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,6,Justin Jefferson,Justin Jefferson,,Prime WR1,Minimal Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,Yes,yellow,Same,yellow,Yes,yellow,Yes,green,Yes,green,3,8,1,0,12,3,8,1,0,38,38,Y,,5,1
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,7,AJ Brown,A.J. Brown,,Trusty Veteran,Some Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,green,Yes,yellow,Same,yellow,Yes,yellow,Yes,yellow,?,orange,1,8,2,1,12,1,8,2,1,24,24,Y,,16,-9
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,8,Drake London,Drake London,,Prime WR1,Minimal Concern,Yes,yellow,Yes,yellow,Yes,yellow,?,orange,?,orange,Yes,yellow,Same,yellow,Yes,yellow,Yes,yellow,Yes,yellow,1,9,2,0,12,1,9,2,0,30,30,Y,,10,-2
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,9,Nico Collins,Nico Collins,,Prime WR1,Some Concern,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Yes,yellow,Same,yellow,No,red,Yes,green,Yes,green,3,7,1,1,12,3,7,1,1,32,32,Y,,8,1
WR_FACTOR_GRID_2026,"Analyst colour-coded WR factor grid (screenshots, 8 images)",third_party_analyst_screenshot,UNKNOWN — owner to supply,UNKNOWN — owner to supply,"Underdog Fantasy ADP (best-ball), 2026",2026,WR,10,George Pickens,George Pickens,,Prime WR1,Minimal Concern,?,orange,?,orange,Yes,yellow,Yes,green,Yes,green,Yes,green,More,red,Yes,yellow,Yes,yellow,Yes,yellow,4,5,2,1,12,4,5,2,1,30,30,Y,,11,-1
