rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_receptions,mkt_rec_yds,mkt_rec_tds,mkt_book,mkt_as_of,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,adj_rush_yds,adj_rush_tds,ppr_clay_17g,ppr_clay_propadj,ppr_market,mkt_minus_clay17,mkt_minus_clayadj,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
1,Puka Nacua,LAR,1.0,357.0,17.0,16.0,106.0,1.0,174.0,123.0,1590.0,10.0,4.0,31.0,106.5,1350.5,8.5,DraftKings/BetMGM/Caesars,2026-08-14,153.5,108.5,1402.9,8.8,93.5,0.9,358.6,316.34,292.55,-66.05,-23.79,18.61,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
2,Ja'Marr Chase,CIN,2.0,336.0,17.0,4.0,21.0,0.0,172.0,119.0,1504.0,11.0,1.0,30.0,108.5,1324.5,10.5,DraftKings/BetMGM/Caesars,2026-08-14,151.8,105.0,1327.1,9.7,18.5,0.0,337.5,297.76,303.95,-33.55,6.19,17.52,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
3,Jaxon Smith-Njigba,SEA,3.0,327.0,17.0,5.0,25.0,0.0,166.0,117.0,1569.0,9.0,1.0,33.0,101.5,1324.5,8.5,DraftKings/BetMGM/Caesars,2026-08-14,146.5,103.2,1384.4,7.9,22.1,0.0,330.4,291.25,284.95,-45.45,-6.3,17.13,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
4,Amon-Ra St. Brown,DET,4.0,324.0,17.0,2.0,13.0,0.0,167.0,118.0,1426.0,10.0,1.0,31.0,103.5,1249.5,9.5,DraftKings/BetMGM/Caesars,2026-08-14,147.4,104.1,1258.2,8.8,11.5,0.0,321.9,283.87,285.45,-36.45,1.58,16.7,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
5,CeeDee Lamb,DAL,5.0,294.0,17.0,2.0,13.0,0.0,158.0,104.0,1379.0,9.0,1.0,28.0,91.5,1175.5,7.5,DraftKings/BetMGM/Caesars,2026-08-14,139.4,91.8,1216.8,7.9,11.5,0.0,297.2,262.03,254.05,-43.15,-7.98,15.41,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
6,Justin Jefferson,MIN,6.0,294.0,17.0,2.0,11.0,0.0,166.0,111.0,1376.0,7.0,1.0,30.0,92.5,1149.5,7.5,DraftKings/BetMGM/Caesars,2026-08-14,146.5,97.9,1214.1,6.2,9.7,0.0,291.7,257.48,252.45,-39.25,-5.03,15.15,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
7,Rashee Rice,KC,7.0,270.0,17.0,8.0,43.0,1.0,136.0,96.0,1132.0,9.0,2.0,25.0,99.5,1049.5,7.5,DraftKings/BetMGM/Caesars,2026-08-14,120.0,84.7,998.8,7.9,37.9,0.9,273.5,241.17,249.45,-24.05,8.28,14.19,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
8,Drake London,ATL,8.0,270.0,17.0,0.0,0.0,0.0,159.0,102.0,1249.0,7.0,0.0,29.0,89.5,1099.5,7.5,DraftKings/BetMGM/Caesars,2026-08-14,140.3,90.0,1102.1,6.2,0.0,0.0,268.9,237.41,244.45,-24.45,7.04,13.97,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
9,Nico Collins,HST,9.0,249.0,17.0,2.0,12.0,0.0,137.0,86.0,1211.0,7.0,1.0,25.0,70.5,1074.5,6.5,DraftKings/BetMGM/Caesars,2026-08-14,120.9,75.9,1068.5,6.2,10.6,0.0,250.3,221.01,216.95,-33.35,-4.06,13.0,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
10,A.J. Brown,NE,10.0,248.0,17.0,0.0,0.0,0.0,130.0,86.0,1215.0,7.0,0.0,25.0,78.5,1124.5,7.5,DraftKings/BetMGM/Caesars,2026-08-14,114.7,75.9,1072.1,6.2,0.0,0.0,249.5,220.31,235.95,-13.55,15.64,12.96,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
