analysis_id,season,position,adp_position_rank,player_name_normalized,player_name_source,nfl_team,archetype,injury_concern,factor_score,factor_score_rank,factor_score_normalized,adp_minus_score_rank,p_returned_on_adp,p_got_injured,p_boomed,p_busted,p_fine,prob_basis,prob_is_player_specific,caveat
WR_PLAYER_PRIORS_2026,2026,WR,1,Ja'Marr Chase,Ja'Marr Chase,,Prime WR1,Minimal Concern,42,1,1.0,0,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,2,Puka Nacua,Puka Nacua,,Prime WR1,Some Concern,42,2,1.0,0,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,3,Jaxon Smith-Njigba,Jaxon Smith-Njigba,,Prime WR1,Minimal Concern,38,3,0.9259,0,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,4,Amon-Ra St. Brown,Amon-Ra St. Brown,,Prime WR1,Minimal Concern,38,4,0.9259,0,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,5,CeeDee Lamb,CeeDee Lamb,,Prime WR1,Some Concern,34,7,0.8519,-2,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,6,Justin Jefferson,Justin Jefferson,,Prime WR1,Minimal Concern,38,5,0.9259,1,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,7,A.J. Brown,AJ Brown,,Trusty Veteran,Some Concern,24,16,0.6667,-9,0.2778,0.3056,0.0833,0.1667,0.25,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=36 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,8,Drake London,Drake London,,Prime WR1,Minimal Concern,30,10,0.7778,-2,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,9,Nico Collins,Nico Collins,,Prime WR1,Some Concern,32,8,0.8148,1,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
WR_PLAYER_PRIORS_2026,2026,WR,10,George Pickens,George Pickens,,Prime WR1,Minimal Concern,30,11,0.7778,-1,0.5352,0.1127,0.338,0.1268,0.2254,"archetype-level base rate, 2020+ top-36-WR ADP cohort (n=71 in this archetype)",N,"factor_score is an ordinal composite of colour-coded judgments, NOT fantasy points; do not blend with ppr_* columns"
