team,ol_pff_rank,ol_pff_tier,ol_clay_grade,ol_clay_rank,ol_blend_score,ol_blend_rank,ol_blend_tier,ol_source_gap_pff_minus_clay,pff_source,clay_source,blend_method
DEN,1,1,8,1.0,1.0,1,1,0.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
PHI,2,1,7,5.0,3.5,2,1,-3.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
TB,3,1,7,5.0,4.0,3,1,-2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
CHI,5,1,7,5.0,5.0,4,1,0.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
BUF,6,1,7,5.0,5.5,5,1,1.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
LAC,7,1,7,5.0,6.0,6,1,2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
SF,10,2,7,5.0,7.5,7,1,5.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
LAR,11,2,7,5.0,8.0,8,1,6.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
IND,4,1,6,17.0,10.5,9,2,-13.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
KC,8,1,6,17.0,12.5,10,2,-9.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
ATL,9,2,6,17.0,13.0,11,2,-8.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
MIN,12,2,6,17.0,14.5,12,2,-5.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
NE,13,2,6,17.0,15.0,13,2,-4.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
SEA,15,2,6,17.0,16.0,14,2,-2.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
NO,16,2,6,17.0,16.5,15,2,-1.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
DAL,17,3,6,17.0,17.0,16,2,0.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
LV,18,3,6,17.0,17.5,17,3,1.0,PFF (user-supplied digest),"Mike Clay / ESPN OL unit grade, 2026-08-13",50/50 mean of PFF rank and Clay grade-rank (ties averaged)
