Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20272	Gibbs, Jahmyr	DET	RB	1.24	1	3		51		
2	20271	Robinson, Bijan	ATL	RB	1.94	1	3		51		
3	18775	Chase, Ja'Marr	CIN	WR	2.90	1	4		51		
4	20336	Nacua, Puka	LA	WR	4.43	3	8		51		
5	18827	St. Brown, Amon-Ra	DET	WR	5.80	4	11		51		
6	20273	Smith-Njigba, Jaxon	SEA	WR	6.20	4	9		51		
7	15222	McCaffrey, Christian	SF	RB	7.22	2	14		51		
8	17962	Taylor, Jonathan	IND	RB	9.37	3	18		51		
9	19467	Cook III, James	BUF	RB	9.57	6	15		51		
10	22055	Jeanty, Ashton	LV	RB	10.08	4	15		51		
11	17965	Lamb, CeeDee	DAL	WR	10.94	6	16		51		
12	17972	Jefferson, Justin	MIN	WR	11.88	6	18		51		
13	20292	Brown, Chase	CIN	RB	12.25	6	16		51		
14	22069	Hampton, Omarion	LAC	RB	15.63	9	21		51		
15	19430	Walker III, Kenneth	KC	RB	16.20	8	22		51		
16	17004	Brown, A.J.	NE	WR	16.47	12	22		51		
17	20284	Achane, De'Von	MIA	RB	17.45	9	30		51		
18	16062	Barkley, Saquon	PHI	RB	17.59	12	26		51		
19	19433	London, Drake	ATL	WR	19.51	13	26		51		
20	21123	Bowers, Brock	LV	TE	20.37	13	27		51		
21	19437	Pickens, George	DAL	WR	23.12	17	35		51		
22	15055	Henry, Derrick	BAL	RB	23.14	13	36		51		
23	21122	Nabers, Malik	NYG	WR	24.08	14	38		51		
24	18836	Collins, Nico	HOU	WR	25.24	19	33		51		
25	19432	Olave, Chris	NO	WR	25.65	19	38		51		
26	22063	Egbuka, Emeka	TB	WR	27.90	17	45		51		
27	20287	Rice, Rashee	KC	WR	28.00	17	38		51		
28	20288	Flowers, Zay	BAL	WR	28.22	20	41		51		
29	18778	Smith, DeVonta	PHI	WR	29.37	13	47		51		
30	19439	McBride, Trey	ARZ	TE	30.49	17	41		51		
31	22930	Love, Jeremiyah	ARZ	RB	32.10	18	48		51		
32	21139	McConkey, Ladd	LAC	WR	33.76	28	44		51		
33	16074	Allen, Josh	BUF	QB	33.92	5	51		51		
34	17971	Higgins, Tee	CIN	WR	35.49	28	50		51		
35	22059	McMillan, Tetairoa	CAR	WR	36.04	25	48		51		
36	19431	Wilson, Garrett	NYJ	WR	36.06	26	55		51		
37	19427	Hall, Breece	NYJ	RB	36.98	26	50		51		
38	18781	Waddle, Jaylen	DEN	WR	37.00	28	51		51		
39	18771	Williams, Javonte	DAL	RB	38.31	23	52		51		
40	19450	Williams, Kyren	LA	RB	39.29	22	58		51		
41	22060	Burden III, Luther	CHI	WR	44.06	34	75		51		
42	22075	Loveland, Colston	CHI	TE	44.27	37	56		51		
43	17062	McLaurin, Terry	WAS	WR	44.65	35	64		51		
44	16134	Moore, DJ	BUF	WR	44.94	35	61		51		
45	19445	Watson, Christian	GB	WR	45.67	32	69		51		
46	22077	Skattebo, Cam	NYG	RB	49.22	31	65		51		
47	19435	Williams, Jameson	DET	WR	49.47	38	66		51		
48	16998	Jacobs, Josh	GB	RB	49.88	33	68		51		
49	20291	Washington, Parker	JAX	WR	50.14	36	74		51		
50	17016	Montgomery, David	HOU	RB	50.78	25	64		51		
51	12729	Adams, Davante	LA	WR	51.65	32	68		51		
52	18770	Etienne Jr., Travis	NO	RB	52.53	37	66		51		
53	20335	Odunze, Rome	CHI	WR	53.18	41	66		51		
54	22067	Warren, Tyler	IND	TE	53.73	46	65		51		
55	12686	Evans, Mike	SF	WR	54.53	41	74		51		
56	17961	Swift, D'Andre	CHI	RB	54.55	39	70		51		
57	22929	Tate, Carnell	TEN	WR	57.31	41	77		51		
58	22062	Judkins, Quinshon	CLE	RB	57.57	43	70		51		
59	22106	Tuten, Bhayshul	JAX	RB	59.90	42	77		51		
60	22072	Henderson, TreVeyon	NE	RB	61.75	42	80		51		
61	21121	Harrison Jr., Marvin	ARZ	WR	62.98	50	101		51		
62	21136	Irving, Bucky	TB	RB	64.29	43	80		51		
63	21131	Thomas Jr., Brian	JAX	WR	65.22	49	94		51		
64	17968	Burrow, Joe	CIN	QB	65.73	17	93		51		
65	21125	Maye, Drake	NE	QB	67.90	12	93		51		
66	21133	Brooks, Jonathon	CAR	RB	68.67	51	113		51		
67	22938	Price, Jadarian	SEA	RB	69.67	52	120		51		
68	16081	Jackson, Lamar	BAL	QB	71.24	19	92		51		
69	15316	Godwin Jr., Chris	TB	WR	71.71	55	104		51		
70	16066	Sutton, Courtland	DEN	WR	72.12	51	102		51		
71	20276	Johnston, Quentin	LAC	WR	73.12	53	93		51		
72	17002	Metcalf, DK	PIT	WR	73.61	60	104		51		
