manager,n_main_drafts,n_alt_drafts,confidence,bimodal_flag,qb1_round_mean,qb1_round_std,te1_round_mean,te1_round_std,rb_in_r1_8_mean,wr_in_r1_8_mean,k_round_mean,qb1_round_alt_mean,te1_round_alt_mean
Asa,1,1,low,True,4.0,,10.0,,2.0,5.0,16.0,3.0,2.0
Cailen,2,0,medium,False,4.0,1.0,5.5,1.5,2.0,4.0,11.0,,
Colin,1,1,low,True,9.0,,2.0,,3.0,4.0,13.0,3.0,7.0
Dylan,4,0,high,False,6.0,1.224744871391589,4.75,0.82915619758885,3.0,2.75,13.0,,
Greg,4,0,high,False,3.5,0.5,7.75,3.960744879438715,2.5,3.5,12.5,,
Jayden,1,1,low,True,9.0,,6.0,,3.0,4.0,13.0,6.0,11.0
Joseph,4,0,high,False,6.333333333333333,1.8856180831641267,5.75,2.947456530637899,3.0,3.75,12.333333333333334,,
Kaiden,4,0,high,False,5.25,1.299038105676658,4.5,2.179449471770337,2.5,3.5,12.0,,
Nathan,4,1,high,True,7.0,2.5495097567963922,6.5,2.598076211353316,2.25,4.5,15.5,10.0,9.0
Nick,4,0,high,False,4.25,1.0897247358851685,3.75,1.299038105676658,2.75,3.25,13.75,,
Ryan,4,0,high,False,7.5,0.8660254037844386,6.0,1.224744871391589,2.75,3.5,14.0,,
Tyler,1,0,low,False,8.0,,7.0,,3.0,3.0,14.0,,
