name_key,position,player,pick_window,priority,tag,note
puka nacua,WR,Puka Nacua,5,1.0,target,Top 4 (Bijan/Gibbs/Chase/JSN) expected gone in some order
christian mccaffrey,RB,Christian McCaffrey,5,2.0,target,Only elite RB1 realistically reachable
amon ra st brown,WR,Amon-Ra St. Brown,5,3.0,target,
chase brown,RB,Chase Brown,20,1.0,target,Doubted to last to 20
omarion hampton,RB,Omarion Hampton,20,2.0,target,
ken walker,RB,Ken Walker III,20,3.0,target,**Nickname alias needed — no ADP joined from either source**
aj brown,WR,A.J. Brown,20,4.0,target,Trusty Veteran archetype: 30.6% injury rate
nico collins,WR,Nico Collins,20,5.0,target,
aj brown,WR,A.J. Brown,29,1.0,target,Hoped fallback if he slides
nico collins,WR,Nico Collins,29,2.0,target,
kyren williams,RB,Kyren Williams,29,3.0,target,
chris olave,WR,Chris Olave,29,4.0,target,ADP above factors per grid divergence
josh allen,QB,Josh Allen,29,5.0,target,Only QB worth taking this early
brock bowers,TE,Brock Bowers,29,6.0,target,
trey mcbride,TE,Trey McBride,29,7.0,target,
ladd mcconkey,WR,Ladd McConkey,44,1.0,target,
emeka egbuka,WR,Emeka Egbuka,44,2.0,target,
jaylen waddle,WR,Jaylen Waddle,44,3.0,target,Largest positive factor-grid divergence at WR
devonta smith,WR,DeVonta Smith,44,4.0,target,
cam skattebo,RB,Cam Skattebo,44,5.0,target,No Sleeper ADP — verify status
garrett wilson,WR,Garrett Wilson,44,6.0,target,
zay flowers,WR,Zay Flowers,44,7.0,target,
sam laporta,TE,Sam LaPorta,53,,watch,"**Target tag removed 2026-08-24.** 16th by VORP in the Sleeper 48-72 band (15.59) and sharp edge -22, i.e. expensive here. Owner read: a top-6 TE needs to be the number 1 or 2 target on his own offence, and he is third behind Gibbs and Jameson Williams. Injury history. Pick 53 reopened to best available"
dandre swift,RB,D'Andre Swift,53,3.0,target,Preferred if available
dj moore,WR,DJ Moore,53,2.0,target,"VORP 21.11, sharp +13. Best of the WR options once age fades are respected"
rome odunze,WR,Rome Odunze,53,1.0,target,"VORP 22.51, sharp +13, Breakout Candidate. Best combined VORP-plus-sharp play in the band that is not age-faded"
quinshon judkins,RB,Quinshon Judkins,53,,fade,Explicit dislike
treveyon henderson,RB,TreVeyon Henderson,53,,fade,Vrabel usage doubt
bhayshul tuten,RB,Bhayshul Tuten,53,,fade,Workload uncertainty
terry mclaurin,WR,Terry McLaurin,53,,watch,"**Highest VORP in the whole 48-72 band: 39.51, sharp +12.** Faded for age. Owner will reconsider. If the age fade is a reflex rather than a read, he is the pick at 53"
mike evans,WR,Mike Evans,53,,fade,Age. VORP 26.51 but sharp only +4
davante adams,WR,Davante Adams,53,,watch,"VORP 37.51, second highest in the band, but sharp -1 so no market edge. Same age question as McLaurin"
jameson williams,WR,Jameson Williams,53,,fade,
carnell tate,WR,Carnell Tate,53,,fade,
jadarian price,RB,Jadarian Price,68,1.0,target,If RB2 still empty
christian watson,WR,Christian Watson,68,2.0,target,Source arithmetic error — use recomputed score of 8
marvin harrison,WR,Marvin Harrison Jr.,68,3.0,target,
parker washington,WR,Parker Washington,68,4.0,target,Only if Brian Thomas unavailable at 77
rj harvey,RB,RJ Harvey,77,1.0,target,If RB2 still empty
brian thomas,WR,Brian Thomas Jr.,77,2.0,target,Positive factor divergence
rome odunze,WR,Rome Odunze,77,3.0,target,
trevor lawrence,QB,Trevor Lawrence,92,1.0,target,⚠ Bottom of his ADP band — see Hurts/Stafford
dalton kincaid,TE,Dalton Kincaid,92,2.0,target,TE1 fallback if LaPorta missed
michael pittman,WR,Michael Pittman Jr.,92,3.0,target,
josh downs,WR,Josh Downs,92,4.0,target,Wants 5th WR by here
george kittle,TE,George Kittle,101,1.0,target,Take 2 of Kittle/Andrews/Kelce if no TE yet
mark andrews,TE,Mark Andrews,101,2.0,target,
travis kelce,TE,Travis Kelce,101,3.0,target,
josh downs,WR,Josh Downs,101,4.0,target,
xavier worthy,WR,Xavier Worthy,116,1.0,target,
jonathon brooks,RB,Jonathon Brooks,116,2.0,target,⚠ −2.1 composite; Warren/Stevenson better at same cost
rachaad white,RB,Rachaad White,116,3.0,target,⚠ −0.6 composite
brock purdy,QB,Brock Purdy,116,4.0,target,QB2 — designated sacrifice per R11
jared goff,QB,Jared Goff,125,1.0,target,
jalen coker,WR,Jalen Coker,125,2.0,target,
rashid shaheed,WR,Rashid Shaheed,125,3.0,target,
tyjae spears,RB,Tyjae Spears,140,1.0,target,⚠ −10.0 composite
jordan love,QB,Jordan Love,140,2.0,target,
emmett johnson,RB,Emmett Johnson,149,1.0,target,
tank dell,WR,Tank Dell,149,2.0,target,⚠ −28.6; no Sleeper ADP
kyler murray,QB,Kyler Murray,149,3.0,target,
tyler allgeier,RB,Tyler Allgeier,164,1.0,target,"⚠ −33.4 composite, worst on list"
jalen nailor,WR,Jalen Nailor,164,2.0,target,
sam darnold,QB,Sam Darnold,164,3.0,target,
oronde gadsden,TE,Oronde Gadsden II,173,1.0,target,Super-late TE
brenton strange,TE,Brenton Strange,173,2.0,target,
