sleeper_name_key,master_name_key,player_display,position
jahmyr gibbs,jahmyr gibbs,Jahmyr Gibbs,RB
bijan robinson,bijan robinson,Bijan Robinson,RB
jamarr chase,jamarr chase,Ja'Marr Chase,WR
puka nacua,puka nacua,Puka Nacua,WR
christian mccaffrey,christian mccaffrey,Christian McCaffrey,RB
jaxon smith njigba,jaxon smith njigba,Jaxon Smith-Njigba,WR
jonathan taylor,jonathan taylor,Jonathan Taylor,RB
amon ra st brown,amon ra st brown,Amon-Ra St. Brown,WR
james cook,james cook,James Cook,RB
ceedee lamb,ceedee lamb,CeeDee Lamb,WR
saquon barkley,saquon barkley,Saquon Barkley,RB
justin jefferson,justin jefferson,Justin Jefferson,WR
devon achane,devon achane,De'Von Achane,RB
ashton jeanty,ashton jeanty,Ashton Jeanty,RB
omarion hampton,omarion hampton,Omarion Hampton,RB
chase brown,chase brown,Chase Brown,RB
aj brown,aj brown,A.J. Brown,WR
drake london,drake london,Drake London,WR
derrick henry,derrick henry,Derrick Henry,RB
kenneth walker,ken walker,Kenneth Walker III,RB
josh allen,josh allen,Josh Allen,QB
george pickens,george pickens,George Pickens,WR
trey mcbride,trey mcbride,Trey McBride,TE
brock bowers,brock bowers,Brock Bowers,TE
nico collins,nico collins,Nico Collins,WR
malik nabers,malik nabers,Malik Nabers,WR
jeremiyah love,jeremiyah love,Jeremiyah Love,RB
kyren williams,kyren williams,Kyren Williams,RB
rashee rice,rashee rice,Rashee Rice,WR
chris olave,chris olave,Chris Olave,WR
lamar jackson,lamar jackson,Lamar Jackson,QB
devonta smith,devonta smith,DeVonta Smith,WR
javonte williams,javonte williams,Javonte Williams,RB
breece hall,breece hall,Breece Hall,RB
ladd mcconkey,ladd mcconkey,Ladd McConkey,WR
tee higgins,tee higgins,Tee Higgins,WR
tetairoa mcmillan,tetairoa mcmillan,Tetairoa McMillan,WR
emeka egbuka,emeka egbuka,Emeka Egbuka,WR
colston loveland,colston loveland,Colston Loveland,TE
zay flowers,zay flowers,Zay Flowers,WR
cameron skattebo,cam skattebo,Cameron Skattebo,RB
bucky irving,bucky irving,Bucky Irving,RB
travis etienne,travis etienne,Travis Etienne,RB
jaylen waddle,jaylen waddle,Jaylen Waddle,WR
garrett wilson,garrett wilson,Garrett Wilson,WR
david montgomery,david montgomery,David Montgomery,RB
drake maye,drake maye,Drake Maye,QB
tyler warren,tyler warren,Tyler Warren,TE
davante adams,davante adams,Davante Adams,WR
dandre swift,dandre swift,D'Andre Swift,RB
joe burrow,joe burrow,Joe Burrow,QB
dj moore,dj moore,D.J. Moore,WR
quinshon judkins,quinshon judkins,Quinshon Judkins,RB
luther burden,luther burden,Luther Burden III,WR
terry mclaurin,terry mclaurin,Terry McLaurin,WR
treveyon henderson,treveyon henderson,TreVeyon Henderson,RB
sam laporta,sam laporta,Sam LaPorta,TE
jameson williams,jameson williams,Jameson Williams,WR
jalen hurts,jalen hurts,Jalen Hurts,QB
bhayshul tuten,bhayshul tuten,Bhayshul Tuten,RB
mike evans,mike evans,Mike Evans,WR
jadarian price,jadarian price,Jadarian Price,RB
tucker kraft,tucker kraft,Tucker Kraft,TE
rome odunze,rome odunze,Rome Odunze,WR
jayden daniels,jayden daniels,Jayden Daniels,QB
carnell tate,carnell tate,Carnell Tate,WR
kyle pitts,kyle pitts,Kyle Pitts,TE
christian watson,christian watson,Christian Watson,WR
harold fannin,harold fannin,Harold Fannin Jr.,TE
caleb williams,caleb williams,Caleb Williams,QB
jaylen warren,jaylen warren,Jaylen Warren,RB
parker washington,parker washington,Parker Washington,WR
brian thomas,brian thomas,Brian Thomas Jr.,WR
dk metcalf,dk metcalf,D.K. Metcalf,WR
marvin harrison,marvin harrison,Marvin Harrison Jr.,WR
dak prescott,dak prescott,Dak Prescott,QB
chuba hubbard,chuba hubbard,Chuba Hubbard,RB
rj harvey,rj harvey,RJ Harvey,RB
courtland sutton,courtland sutton,Courtland Sutton,WR
rhamondre stevenson,rhamondre stevenson,Rhamondre Stevenson,RB
justin herbert,justin herbert,Justin Herbert,QB
tony pollard,tony pollard,Tony Pollard,RB
george kittle,george kittle,George Kittle,TE
michael wilson,michael wilson,Michael Wilson,WR
rico dowdle,rico dowdle,Rico Dowdle,RB
dalton kincaid,dalton kincaid,Dalton Kincaid,TE
travis kelce,travis kelce,Travis Kelce,TE
makai lemon,makai lemon,Makai Lemon,WR
brandon aubrey,brandon aubrey,Brandon Aubrey,K
jk dobbins,jk dobbins,J.K. Dobbins,RB
chris godwin,chris godwin,Chris Godwin,WR
jaxson dart,jaxson dart,Jaxson Dart,QB
matthew stafford,matthew stafford,Matthew Stafford,QB
alec pierce,alec pierce,Alec Pierce,WR
jake ferguson,jake ferguson,Jake Ferguson,TE
jonathon brooks,jonathon brooks,Jonathon Brooks,RB
trevor lawrence,trevor lawrence,Trevor Lawrence,QB
blake corum,blake corum,Blake Corum,RB
jordan addison,jordan addison,Jordan Addison,WR
kyle monangai,kyle monangai,Kyle Monangai,RB
michael pittman,michael pittman,Michael Pittman Jr.,WR
jordyn tyson,jordyn tyson,Jordyn Tyson,WR
isaiah likely,isaiah likely,Isaiah Likely,TE
stefon diggs,stefon diggs,Stefon Diggs,WR
jayden reed,jayden reed,Jayden Reed,WR
jordan mason,jordan mason,Jordan Mason,RB
patrick mahomes,patrick mahomes,Patrick Mahomes,QB
