manager,nfl_team,picks,expected_picks,bias_ratio
Asa,SF,4,1.1,3.64
Asa,GB,3,1.1,2.73
Asa,CIN,2,1.06,1.88
Asa,PHI,2,1.1,1.82
Asa,DET,2,1.13,1.77
Asa,JAX,2,1.13,1.77
Asa,MIN,1,1.03,0.97
Asa,TB,1,1.1,0.91
Asa,DAL,1,1.13,0.88
Asa,LAC,1,1.16,0.86
Asa,BUF,1,1.23,0.81
Asa,KC,1,1.36,0.73
Cailen,SF,4,1.1,3.64
Cailen,DEN,4,1.23,3.25
Cailen,BAL,2,1.03,1.94
Cailen,CIN,2,1.06,1.88
Cailen,TB,2,1.1,1.82
Cailen,LAC,2,1.16,1.72
Cailen,CHI,1,1.03,0.97
Cailen,HOU,1,1.03,0.97
Cailen,MIN,1,1.03,0.97
Cailen,PHI,1,1.1,0.91
Cailen,DAL,1,1.13,0.88
Cailen,JAX,1,1.13,0.88
Colin,SF,3,1.1,2.73
Colin,BAL,2,1.03,1.94
Colin,MIN,2,1.03,1.94
Colin,PHI,2,1.1,1.82
Colin,DAL,2,1.13,1.77
Colin,HOU,1,1.03,0.97
Colin,LAC,1,1.16,0.86
Colin,DEN,1,1.23,0.81
Colin,KC,1,1.36,0.73
Dylan,ATL,5,2.0,2.51
Dylan,CAR,4,1.73,2.31
Dylan,LAC,5,2.33,2.15
Dylan,NO,3,1.4,2.15
Dylan,CIN,4,2.13,1.88
Dylan,SF,4,2.2,1.82
Dylan,TB,4,2.2,1.82
Dylan,ARI,3,1.86,1.61
Dylan,BAL,3,2.06,1.45
Dylan,NYJ,2,1.53,1.31
Dylan,LAR,2,1.73,1.16
Dylan,PIT,2,1.73,1.16
Dylan,CLE,2,1.8,1.11
Dylan,KC,3,2.73,1.1
Dylan,MIA,2,1.86,1.07
Dylan,LV,2,1.93,1.04
Dylan,MIN,2,2.06,0.97
Dylan,BUF,2,2.46,0.81
Dylan,NYG,1,1.46,0.68
Dylan,TEN,1,1.6,0.63
Dylan,WAS,1,1.73,0.58
Dylan,SEA,1,1.8,0.56
Dylan,NE,1,1.86,0.54
Dylan,CHI,1,2.06,0.48
Dylan,HOU,1,2.06,0.48
Dylan,GB,1,2.2,0.46
Dylan,DAL,1,2.26,0.44
Dylan,DEN,1,2.46,0.41
Greg,BUF,6,2.46,2.44
Greg,SEA,4,1.8,2.23
Greg,CIN,4,2.13,1.88
Greg,TEN,3,1.6,1.88
Greg,KC,5,2.73,1.83
Greg,PHI,4,2.2,1.82
Greg,CHI,3,2.06,1.45
Greg,GB,3,2.2,1.37
Greg,NYG,2,1.46,1.37
Greg,DET,3,2.26,1.33
Greg,JAX,3,2.26,1.33
Greg,LAC,3,2.33,1.29
Greg,LAR,2,1.73,1.16
Greg,WAS,2,1.73,1.16
Greg,CLE,2,1.8,1.11
Greg,IND,2,1.86,1.07
Greg,LV,2,1.93,1.04
Greg,ATL,2,2.0,1.0
Greg,HOU,2,2.06,0.97
Greg,SF,2,2.2,0.91
Greg,PIT,1,1.73,0.58
Greg,ARI,1,1.86,0.54
Greg,BAL,1,2.06,0.48
Greg,MIN,1,2.06,0.48
