player_display,position,college,name_key,is_model_recall
Marvin Harrison Jr.,WR,Ohio State,marvin harrison,True
Justin Fields,QB,Ohio State,justin fields,True
Chris Olave,WR,Ohio State,chris olave,True
Garrett Wilson,WR,Ohio State,garrett wilson,True
Jaxon Smith-Njigba,WR,Ohio State,jaxon smith njigba,True
Emeka Egbuka,WR,Ohio State,emeka egbuka,True
TreVeyon Henderson,RB,Ohio State,treveyon henderson,True
Terry McLaurin,WR,Ohio State,terry mclaurin,True
J.K. Dobbins,RB,Ohio State,jk dobbins,True
Jeremy Ruckert,TE,Ohio State,jeremy ruckert,True
Cade Stover,TE,Ohio State,cade stover,True
C.J. Stroud,QB,Ohio State,cj stroud,True
Jaylen Waddle,WR,Alabama,jaylen waddle,True
Tua Tagovailoa,QB,Alabama,tua tagovailoa,True
Brian Robinson Jr.,RB,Alabama,brian robinson,True
Jameson Williams,WR,Alabama,jameson williams,True
Josh Jacobs,RB,Alabama,josh jacobs,True
Bryce Young,QB,Alabama,bryce young,True
Calvin Ridley,WR,Alabama,calvin ridley,True
DeVonta Smith,WR,Alabama,devonta smith,True
Chase Brown,RB,Illinois,chase brown,True
Breece Hall,RB,Iowa State,breece hall,True
Brock Purdy,QB,Iowa State,brock purdy,True
Charlie Kolar,TE,Iowa State,charlie kolar,True
Kyle Pitts,TE,Florida,kyle pitts,True
Malik Davis,RB,Florida,malik davis,True
