player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,adp_rank,as_of,sleeper_raw_name_key,sleeper_match_key_name,adp_usable_for_survival
Jahmyr Gibbs,Jahmyr,Gibbs,,RB,DET,jahmyr gibbs,Sleeper,1.0,,,,1,2026-09-05,jahmyr gibbs,jahmyr gibbs,True
Bijan Robinson,Bijan,Robinson,,RB,ATL,bijan robinson,Sleeper,2.0,,,,2,2026-09-05,bijan robinson,bijan robinson,True
Ja'Marr Chase,Ja'Marr,Chase,,WR,CIN,jamarr chase,Sleeper,3.0,,,,3,2026-09-05,jamarr chase,jamarr chase,True
Puka Nacua,Puka,Nacua,,WR,LAR,puka nacua,Sleeper,4.0,,,,4,2026-09-05,puka nacua,puka nacua,True
Christian McCaffrey,Christian,McCaffrey,,RB,SF,christian mccaffrey,Sleeper,5.0,,,,5,2026-09-05,christian mccaffrey,christian mccaffrey,True
Jaxon Smith-Njigba,Jaxon,Smith-Njigba,,WR,SEA,jaxon smith njigba,Sleeper,6.0,,,,6,2026-09-05,jaxon smith njigba,jaxon smith-njigba,True
Jonathan Taylor,Jonathan,Taylor,,RB,IND,jonathan taylor,Sleeper,7.0,,,,7,2026-09-05,jonathan taylor,jonathan taylor,True
Amon-Ra St. Brown,Amon-Ra,St. Brown,,WR,DET,amon ra st brown,Sleeper,8.0,,,,8,2026-09-05,amon ra st brown,amon-ra st brown,True
James Cook,James,Cook,,RB,BUF,james cook,Sleeper,9.0,,,,9,2026-09-05,james cook,james cook,True
CeeDee Lamb,CeeDee,Lamb,,WR,DAL,ceedee lamb,Sleeper,10.0,,,,10,2026-09-05,ceedee lamb,ceedee lamb,True
Saquon Barkley,Saquon,Barkley,,RB,PHI,saquon barkley,Sleeper,11.0,,,,11,2026-09-05,saquon barkley,saquon barkley,True
Justin Jefferson,Justin,Jefferson,,WR,MIN,justin jefferson,Sleeper,12.0,,,,12,2026-09-05,justin jefferson,justin jefferson,True
De'Von Achane,De'Von,Achane,,RB,MIA,devon achane,Sleeper,13.0,,,,13,2026-09-05,devon achane,devon achane,True
Ashton Jeanty,Ashton,Jeanty,,RB,LV,ashton jeanty,Sleeper,14.0,,,,14,2026-09-05,ashton jeanty,ashton jeanty,True
Omarion Hampton,Omarion,Hampton,,RB,LAC,omarion hampton,Sleeper,15.0,,,,15,2026-09-05,omarion hampton,omarion hampton,True
Chase Brown,Chase,Brown,,RB,CIN,chase brown,Sleeper,16.0,,,,16,2026-09-05,chase brown,chase brown,True
A.J. Brown,A.J.,Brown,,WR,NE,aj brown,Sleeper,17.0,,,,17,2026-09-05,aj brown,aj brown,True
Drake London,Drake,London,,WR,ATL,drake london,Sleeper,18.0,,,,18,2026-09-05,drake london,drake london,True
Derrick Henry,Derrick,Henry,,RB,BAL,derrick henry,Sleeper,19.0,,,,19,2026-09-05,derrick henry,derrick henry,True
Kenneth Walker III,Kenneth,Walker,III,RB,KC,ken walker,Sleeper,20.0,,,,20,2026-09-05,kenneth walker,kenneth walker iii,True
Josh Allen,Josh,Allen,,QB,BUF,josh allen,Sleeper,21.0,,,,21,2026-09-05,josh allen,josh allen,True
George Pickens,George,Pickens,,WR,DAL,george pickens,Sleeper,22.0,,,,22,2026-09-05,george pickens,george pickens,True
Trey McBride,Trey,McBride,,TE,ARI,trey mcbride,Sleeper,23.0,,,,23,2026-09-05,trey mcbride,trey mcbride,True
Brock Bowers,Brock,Bowers,,TE,LV,brock bowers,Sleeper,24.0,,,,24,2026-09-05,brock bowers,brock bowers,True
Nico Collins,Nico,Collins,,WR,HOU,nico collins,Sleeper,25.0,,,,25,2026-09-05,nico collins,nico collins,True
Malik Nabers,Malik,Nabers,,WR,NYG,malik nabers,Sleeper,26.0,,,,26,2026-09-05,malik nabers,malik nabers,True
Jeremiyah Love,Jeremiyah,Love,,RB,ARI,jeremiyah love,Sleeper,27.0,,,,27,2026-09-05,jeremiyah love,jeremiyah love,True
Kyren Williams,Kyren,Williams,,RB,LAR,kyren williams,Sleeper,28.0,,,,28,2026-09-05,kyren williams,kyren williams,True
Rashee Rice,Rashee,Rice,,WR,KC,rashee rice,Sleeper,29.0,,,,29,2026-09-05,rashee rice,rashee rice,True
Chris Olave,Chris,Olave,,WR,NO,chris olave,Sleeper,30.0,,,,30,2026-09-05,chris olave,chris olave,True
Lamar Jackson,Lamar,Jackson,,QB,BAL,lamar jackson,Sleeper,31.0,,,,31,2026-09-05,lamar jackson,lamar jackson,True
DeVonta Smith,DeVonta,Smith,,WR,PHI,devonta smith,Sleeper,32.0,,,,32,2026-09-05,devonta smith,devonta smith,True
Javonte Williams,Javonte,Williams,,RB,DAL,javonte williams,Sleeper,33.0,,,,33,2026-09-05,javonte williams,javonte williams,True
Breece Hall,Breece,Hall,,RB,NYJ,breece hall,Sleeper,34.0,,,,34,2026-09-05,breece hall,breece hall,True
Ladd McConkey,Ladd,McConkey,,WR,LAC,ladd mcconkey,Sleeper,35.0,,,,35,2026-09-05,ladd mcconkey,ladd mcconkey,True
Tee Higgins,Tee,Higgins,,WR,CIN,tee higgins,Sleeper,36.0,,,,36,2026-09-05,tee higgins,tee higgins,True
