Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20272	Gibbs, Jahmyr	DET	RB	1.09	1	2		162		
2	20271	Robinson, Bijan	ATL	RB	1.99	1	3		162		
3	18775	Chase, Ja'Marr	CIN	WR	3.15	1	10		162		
4	20336	Nacua, Puka	LA	WR	5.19	3	11		162		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.68	3	9		162		
6	18827	St. Brown, Amon-Ra	DET	WR	5.90	3	10		162		
7	15222	McCaffrey, Christian	SF	RB	7.49	3	16		162		
8	17962	Taylor, Jonathan	IND	RB	8.03	2	13		162		
9	19467	Cook III, James	BUF	RB	8.22	3	12		162		
10	17965	Lamb, CeeDee	DAL	WR	11.41	6	20		162		
11	20292	Brown, Chase	CIN	RB	11.73	7	17		162		
12	17972	Jefferson, Justin	MIN	WR	11.77	6	21		162		
13	22069	Hampton, Omarion	LAC	RB	14.62	7	22		162		
14	16062	Barkley, Saquon	PHI	RB	15.05	7	26		162		
15	20284	Achane, De'Von	MIA	RB	15.71	9	25		162		
16	19430	Walker III, Kenneth	KC	RB	15.92	9	25		162		
17	17004	Brown, A.J.	NE	WR	16.33	11	24		162		
18	22055	Jeanty, Ashton	LV	RB	18.46	5	29		162		
19	21123	Bowers, Brock	LV	TE	20.63	6	31		162		
20	19433	London, Drake	ATL	WR	21.19	12	33		162		
21	15055	Henry, Derrick	BAL	RB	21.90	9	33		162		
22	19437	Pickens, George	DAL	WR	22.09	13	29		162		
23	19432	Olave, Chris	NO	WR	22.56	13	41		162		
24	18836	Collins, Nico	HOU	WR	23.14	12	32		162		
25	21122	Nabers, Malik	NYG	WR	25.38	13	42		162		
26	18778	Smith, DeVonta	PHI	WR	28.25	17	39		162		
27	20287	Rice, Rashee	KC	WR	29.26	17	47		162		
28	19439	McBride, Trey	ARZ	TE	29.67	15	50		162		
29	20288	Flowers, Zay	BAL	WR	30.94	23	44		162		
30	18771	Williams, Javonte	DAL	RB	32.20	18	46		162		
31	21139	McConkey, Ladd	LAC	WR	32.85	24	47		162		
32	18781	Waddle, Jaylen	DEN	WR	33.69	21	54		162		
33	16074	Allen, Josh	BUF	QB	33.90	2	59		162		
34	22930	Love, Jeremiyah	ARZ	RB	35.46	10	57		162		
