ADP,Player,Team,Pos,Pos Rank,Source,Format,Date Pulled
1,Jahmyr Gibbs,DET,RB,RB1,Sleeper,PPR,2026-08-16
2,Bijan Robinson,ATL,RB,RB2,Sleeper,PPR,2026-08-16
3,Ja'Marr Chase,CIN,WR,WR1,Sleeper,PPR,2026-08-16
4,Puka Nacua,LAR,WR,WR2,Sleeper,PPR,2026-08-16
5,Christian McCaffrey,SF,RB,RB3,Sleeper,PPR,2026-08-16
6,Jaxon Smith-Njigba,SEA,WR,WR3,Sleeper,PPR,2026-08-16
7,Jonathan Taylor,IND,RB,RB4,Sleeper,PPR,2026-08-16
8,CeeDee Lamb,DAL,WR,WR4,Sleeper,PPR,2026-08-16
9,Amon-Ra St. Brown,DET,WR,WR5,Sleeper,PPR,2026-08-16
10,James Cook,BUF,RB,RB5,Sleeper,PPR,2026-08-16
11,Justin Jefferson,MIN,WR,WR6,Sleeper,PPR,2026-08-16
12,De'Von Achane,MIA,RB,RB6,Sleeper,PPR,2026-08-16
13,Saquon Barkley,PHI,RB,RB7,Sleeper,PPR,2026-08-16
14,Ashton Jeanty,LVR,RB,RB8,Sleeper,PPR,2026-08-16
15,Drake London,ATL,WR,WR7,Sleeper,PPR,2026-08-16
16,Omarion Hampton,LAC,RB,RB9,Sleeper,PPR,2026-08-16
17,Chase Brown,CIN,RB,RB10,Sleeper,PPR,2026-08-16
18,A.J. Brown,NE,WR,WR8,Sleeper,PPR,2026-08-16
19,Trey McBride,ARI,TE,TE1,Sleeper,PPR,2026-08-16
20,Kenneth Walker III,KC,RB,RB11,Sleeper,PPR,2026-08-16
21,Brock Bowers,LVR,TE,TE2,Sleeper,PPR,2026-08-16
22,Derrick Henry,BAL,RB,RB12,Sleeper,PPR,2026-08-16
23,George Pickens,DAL,WR,WR9,Sleeper,PPR,2026-08-16
24,Josh Allen,BUF,QB,QB1,Sleeper,PPR,2026-08-16
25,Jeremiyah Love,ARI,RB,RB13,Sleeper,PPR,2026-08-16
26,Nico Collins,HOU,WR,WR10,Sleeper,PPR,2026-08-16
27,Rashee Rice,KC,WR,WR11,Sleeper,PPR,2026-08-16
28,Malik Nabers,NYG,WR,WR12,Sleeper,PPR,2026-08-16
29,Chris Olave,NO,WR,WR13,Sleeper,PPR,2026-08-16
30,Kyren Williams,LAR,RB,RB14,Sleeper,PPR,2026-08-16
31,Josh Jacobs,GB,RB,RB15,Sleeper,PPR,2026-08-16
32,Breece Hall,NYJ,RB,RB16,Sleeper,PPR,2026-08-16
33,Lamar Jackson,BAL,QB,QB2,Sleeper,PPR,2026-08-16
34,Tee Higgins,CIN,WR,WR14,Sleeper,PPR,2026-08-16
35,Javonte Williams,DAL,RB,RB17,Sleeper,PPR,2026-08-16
36,Tetairoa McMillan,CAR,WR,WR15,Sleeper,PPR,2026-08-16
37,Bucky Irving,TB,RB,RB18,Sleeper,PPR,2026-08-16
38,DeVonta Smith,PHI,WR,WR16,Sleeper,PPR,2026-08-16
39,Ladd McConkey,LAC,WR,WR17,Sleeper,PPR,2026-08-16
40,Emeka Egbuka,TB,WR,WR18,Sleeper,PPR,2026-08-16
41,Colston Loveland,CHI,TE,TE3,Sleeper,PPR,2026-08-16
42,Travis Etienne,NO,RB,RB19,Sleeper,PPR,2026-08-16
43,Garrett Wilson,NYJ,WR,WR19,Sleeper,PPR,2026-08-16
44,Cameron Skattebo,NYG,RB,RB20,Sleeper,PPR,2026-08-16
