ADP Rank,ADP,Player,Team,Pos,Pos Rank,Match Key,Source,Format,Date Pulled
1,1,Jahmyr Gibbs,DET,RB,RB1,jahmyr gibbs|RB,Sleeper,PPR,2026-08-29
2,2,Bijan Robinson,ATL,RB,RB2,bijan robinson|RB,Sleeper,PPR,2026-08-29
3,3,Ja'Marr Chase,CIN,WR,WR1,jamarr chase|WR,Sleeper,PPR,2026-08-29
4,4,Puka Nacua,LAR,WR,WR2,puka nacua|WR,Sleeper,PPR,2026-08-29
5,5,Jaxon Smith-Njigba,SEA,WR,WR3,jaxon smithnjigba|WR,Sleeper,PPR,2026-08-29
6,6,Christian McCaffrey,SF,RB,RB3,christian mccaffrey|RB,Sleeper,PPR,2026-08-29
7,7,Jonathan Taylor,IND,RB,RB4,jonathan taylor|RB,Sleeper,PPR,2026-08-29
8,8,Amon-Ra St. Brown,DET,WR,WR4,amonra st brown|WR,Sleeper,PPR,2026-08-29
9,9,CeeDee Lamb,DAL,WR,WR5,ceedee lamb|WR,Sleeper,PPR,2026-08-29
10,10,James Cook,BUF,RB,RB5,james cook|RB,Sleeper,PPR,2026-08-29
11,11,Justin Jefferson,MIN,WR,WR6,justin jefferson|WR,Sleeper,PPR,2026-08-29
12,12,De'Von Achane,MIA,RB,RB6,devon achane|RB,Sleeper,PPR,2026-08-29
13,13,Saquon Barkley,PHI,RB,RB7,saquon barkley|RB,Sleeper,PPR,2026-08-29
14,14,Ashton Jeanty,LV,RB,RB8,ashton jeanty|RB,Sleeper,PPR,2026-08-29
15,15,Omarion Hampton,LAC,RB,RB9,omarion hampton|RB,Sleeper,PPR,2026-08-29
16,16,Chase Brown,CIN,RB,RB10,chase brown|RB,Sleeper,PPR,2026-08-29
17,17,Drake London,ATL,WR,WR7,drake london|WR,Sleeper,PPR,2026-08-29
18,18,A.J. Brown,NE,WR,WR8,aj brown|WR,Sleeper,PPR,2026-08-29
19,19,Kenneth Walker III,KC,RB,RB11,kenneth walker|RB,Sleeper,PPR,2026-08-29
20,20,Derrick Henry,BAL,RB,RB12,derrick henry|RB,Sleeper,PPR,2026-08-29
21,21,Josh Allen,BUF,QB,QB1,josh allen|QB,Sleeper,PPR,2026-08-29
22,22,Trey McBride,ARI,TE,TE1,trey mcbride|TE,Sleeper,PPR,2026-08-29
23,23,George Pickens,DAL,WR,WR9,george pickens|WR,Sleeper,PPR,2026-08-29
24,24,Brock Bowers,LV,TE,TE2,brock bowers|TE,Sleeper,PPR,2026-08-29
