season,league,draft_id,rounds,username,manager,current_member,round,pick_in_round,overall,player,pos,nfl_team
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,1,1,1,J. Taylor,RB,IND
2022,main,851584287596732416,17,clappinyou,Dylan,Y,1,2,2,C. McCaffrey,RB,CAR
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,1,3,3,A. Ekeler,RB,LAC
2022,main,851584287596732416,17,jrocka33,,N,1,4,4,D. Cook,RB,MIN
2022,main,851584287596732416,17,Harryschultz,,N,1,5,5,D. Henry,RB,TEN
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,1,6,6,J. Jefferson,WR,MIN
2022,main,851584287596732416,17,hunterslosser,,N,1,7,7,A. Kamara,RB,NO
2022,main,851584287596732416,17,brianthebuck15,,N,1,8,8,C. Kupp,WR,LAR
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,1,9,9,J. Chase,WR,CIN
2022,main,851584287596732416,17,levibrad,,N,1,10,10,J. Mixon,RB,CIN
2022,main,851584287596732416,17,gregdani612,Greg,Y,1,11,11,D. Swift,RB,DET
2022,main,851584287596732416,17,npd312,Nick,Y,1,12,12,N. Harris,RB,PIT
2022,main,851584287596732416,17,npd312,Nick,Y,2,1,13,T. Kelce,TE,KC
2022,main,851584287596732416,17,gregdani612,Greg,Y,2,2,14,S. Diggs,WR,BUF
2022,main,851584287596732416,17,levibrad,,N,2,3,15,S. Barkley,RB,NYG
2022,main,851584287596732416,17,BigBallsKaiden,Kaiden,Y,2,4,16,D. Adams,WR,LV
2022,main,851584287596732416,17,brianthebuck15,,N,2,5,17,R. Wilson,QB,DEN
2022,main,851584287596732416,17,hunterslosser,,N,2,6,18,A. Jones,RB,GB
2022,main,851584287596732416,17,nathanawright24,Nathan,Y,2,7,19,J. Williams,RB,DEN
2022,main,851584287596732416,17,Harryschultz,,N,2,8,20,T. Hill,WR,MIA
2022,main,851584287596732416,17,jrocka33,,N,2,9,21,M. Andrews,TE,BAL
2022,main,851584287596732416,17,RyanAnderson25,Ryan,Y,2,10,22,N. Chubb,RB,CLE
2022,main,851584287596732416,17,clappinyou,Dylan,Y,2,11,23,D. Samuel,WR,SF
2022,main,851584287596732416,17,josekhgreen,Joseph,Y,2,12,24,C. Lamb,WR,DAL
